Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
st0000306;DOMATES;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000307;FESLEĞEN;Hammadde;ADET;0,00;0,00;0,00
st0000308;YEŞİL BİBER;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000309;LİMON;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000310;LOLOROSO ADET ;Hammadde;ADET;0,00;0,00;0,00
st0000311;ICEBERG;Hammadde;ADET;0,00;0,00;0,00
st0000312;PATLICAN;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000313;SALATALIK;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000314;ÇERY DOMATES;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000315;KIL ACI BİBER;Hammadde;KİLOGRAM;0,00;0,00;0,00
